Brightness
32
24
32
24
40
24
24
40
64
80
136
161
177
64
177
120
281
96
88
48
72
48
32
80
72
80
72
80
80
64
112
88
72
144
137
137
177
193
112
112
193
128
80
64
72
80
80
48
8
0
0
0
0
8
8
32
40
233
32
24
0
0
0
0
0
0
56
217
48
208
40
152
48
56
24
32
32
24
32
24
24
24
24
8
16
16
16
16
32
32
16
32
40
40
56
56
64
88
72
56
80
80
48
40
80
48
48
72
64
96
64
104
104
419
177
266
578
345
153
177
56
24
40
64
16
24
40
40
168
40
177
177
402
249
208
330
218
218
225
201
177
434
145
169
772
546
570
1687
562
442
1621
578
1494
772
193
305
273
153
177
810
996
1510
740
610
788
756
338
208
145
177
161
96
88
129
137
177
153
96
48
40
48
136
104
137
177
64
56
153
113
88
129
72
72
113
104
201
208
80
80
96
80
48
72
129
121
72
48
80
104
104
104
201
145
32
32
104
120
96
121
65
97
89
88
72
80
72
80
88
129
258
338
386
434
394
458
394
273
208
137
129
137
169
169
185
153
113
97
104
96
113
467
498
169
129
88
104
112
113
161
242
330
218
177
121
153
208
185
305
321
257
169
145
177
249
258
346
378
947
1110
1190
916
580
562
305
128
137
24
24
24
64
96
88
112
185
571
1142
1158
564
233
458
498
337
361
177
193
290
250
249
185
266
274
274
217
290
435
435
378
298
419
306
298
346
338
483
354
354
354
419
379
354
531
411
354
322
451
387
282
274
322
386
564
947
1238
282
322
450
24
40
169
56
24
8
8
16
64
24
24
64
120
104
64
217
72
32
8
48
32
32
32
32
97
88
72
56
56
80
32
0
0
0
8
0
8
32
72
64
72
104
97
129
48
64
32
56
56
56
56
56
48
40
40
40
32
0
0
16
24
16
16
8
24
32
72
121
112
64
80
40
48
112
265
346
355
514
169
121
96
434
1302
740
546
466
322
249
48
113
242
379
603
201
208
571
676
273
265
1126
2168
2024
482
233
580
1558
628
386
354
330
676
1238
548
225
435
217
249
852
1012
578
482
233
217
282
185
233
274
185
411
217
290
96
153
97
169
225
104
120
56
137
314
121
371
250
266
250
233
395
129
387
217
274
322
153
379
169
338
371
161
483
290
208
64
64
40
56
96
40
96
40
104
48
96
48
104
48
104
48
104
40
96
56
88
48
88
48
88
40
96
48
96
48
88
32
56
169
64
225
104
354
104
395
80
483
121
201
306
88
330
97
233
208
32
104
64
40
129
24
121
72
48
185
32
217
89
96
314
72
314
233
97
379
48
338
72
208
217
72
330
64
258
113
225
330
104
580
81
467
250
177
628
72
475
208
161
